date,open,high,low,close
03092024 000000,58519.99000000,58558.25000000,58498.70000000,58498.71000000
03092024 000500,58498.71000000,58539.00000000,58446.07000000,58526.77000000
03092024 001000,58526.77000000,58553.00000000,58460.01000000,58460.01000000
03092024 001500,58460.01000000,58464.00000000,58318.33000000,58404.00000000
03092024 002000,58404.00000000,58430.99000000,58366.03000000,58430.99000000
03092024 002500,58430.98000000,58497.00000000,58402.00000000,58486.01000000
03092024 003000,58486.01000000,58486.01000000,58415.23000000,58415.23000000
03092024 003500,58415.24000000,58472.00000000,58402.00000000,58472.00000000
03092024 004000,58471.99000000,58559.00000000,58456.16000000,58502.01000000
03092024 004500,58502.01000000,58521.00000000,58490.00000000,58494.02000000
03092024 005000,58494.02000000,58494.02000000,58468.02000000,58474.29000000
03092024 005500,58474.29000000,58520.98000000,58474.29000000,58520.98000000
03092024 010000,58520.97000000,58520.98000000,58478.00000000,58498.99000000
03092024 010500,58499.00000000,58538.00000000,58399.00000000,58437.00000000
03092024 011000,58437.00000000,58445.94000000,58390.39000000,58440.99000000
03092024 011500,58440.99000000,58469.91000000,58432.00000000,58447.00000000
03092024 012000,58447.01000000,58466.67000000,58428.00000000,58449.69000000
03092024 012500,58449.68000000,58460.00000000,58411.10000000,58439.99000000
03092024 013000,58440.03000000,58469.91000000,58384.61000000,58384.62000000
03092024 013500,58384.61000000,58478.22000000,58384.61000000,58458.01000000
03092024 014000,58458.01000000,58555.55000000,58458.00000000,58537.01000000
03092024 014500,58537.00000000,58571.00000000,58537.00000000,58570.99000000
03092024 015000,58571.00000000,58574.72000000,58541.10000000,58551.00000000
03092024 015500,58551.00000000,58573.00000000,58514.00000000,58520.00000000
03092024 020000,58520.01000000,58654.03000000,58507.00000000,58637.94000000
03092024 020500,58637.95000000,58651.00000000,58572.98000000,58574.01000000
03092024 021000,58574.00000000,58629.99000000,58558.00000000,58612.05000000
03092024 021500,58612.05000000,58621.00000000,58595.00000000,58620.99000000
03092024 022000,58621.00000000,59122.07000000,58620.99000000,59096.99000000
03092024 022500,59096.99000000,59243.00000000,58934.00000000,58992.00000000
03092024 023000,58992.01000000,59240.00000000,58992.00000000,59211.10000000
03092024 023500,59211.09000000,59273.73000000,59054.81000000,59133.99000000
03092024 024000,59134.00000000,59240.15000000,59133.99000000,59225.63000000
03092024 024500,59225.63000000,59235.53000000,59134.16000000,59208.44000000
03092024 025000,59208.44000000,59259.00000000,59144.50000000,59258.99000000
03092024 025500,59259.00000000,59274.00000000,59215.79000000,59273.99000000
03092024 030000,59273.99000000,59274.32000000,59223.43000000,59232.00000000
03092024 030500,59232.01000000,59232.01000000,59064.62000000,59069.78000000
03092024 031000,59069.78000000,59123.00000000,59019.17000000,59099.56000000
03092024 031500,59099.56000000,59099.56000000,58929.04000000,58929.04000000
03092024 032000,58929.04000000,59002.95000000,58875.03000000,58989.01000000
03092024 032500,58989.00000000,59133.17000000,58976.43000000,59047.00000000
03092024 033000,59047.00000000,59142.00000000,59008.81000000,59125.00000000
03092024 033500,59124.00000000,59165.92000000,59084.55000000,59146.99000000
03092024 034000,59147.00000000,59162.95000000,59080.00000000,59080.99000000
03092024 034500,59080.99000000,59121.00000000,59045.00000000,59075.99000000
03092024 035000,59075.99000000,59187.00000000,59075.99000000,59183.99000000
03092024 035500,59184.00000000,59220.00000000,59177.00000000,59220.00000000
03092024 040000,59220.00000000,59220.00000000,59110.10000000,59150.00000000
03092024 040500,59150.00000000,59169.00000000,59122.76000000,59123.01000000
03092024 041000,59123.00000000,59257.00000000,59101.25000000,59239.72000000
03092024 041500,59239.73000000,59267.00000000,59224.00000000,59262.99000000
03092024 042000,59262.99000000,59267.00000000,59226.16000000,59226.16000000
03092024 042500,59226.17000000,59350.00000000,59215.49000000,59349.99000000
03092024 043000,59349.99000000,59425.69000000,59255.55000000,59283.99000000
03092024 043500,59284.00000000,59353.00000000,59251.00000000,59345.00000000
03092024 044000,59345.01000000,59345.01000000,59243.00000000,59252.00000000
03092024 044500,59252.00000000,59280.00000000,59215.86000000,59268.01000000
03092024 045000,59268.00000000,59291.00000000,59198.01000000,59211.99000000
03092024 045500,59212.00000000,59220.00000000,59073.00000000,59088.99000000
03092024 050000,59089.00000000,59193.00000000,59087.00000000,59179.99000000
03092024 050500,59180.00000000,59185.00000000,59143.00000000,59156.99000000
03092024 051000,59156.99000000,59166.00000000,59115.00000000,59166.00000000
03092024 051500,59166.00000000,59171.10000000,59147.00000000,59160.50000000
03092024 052000,59160.51000000,59160.51000000,59080.38000000,59127.65000000
03092024 052500,59127.65000000,59150.00000000,59081.10000000,59132.13000000
03092024 053000,59132.12000000,59145.00000000,59069.75000000,59105.92000000
03092024 053500,59105.92000000,59129.55000000,59064.00000000,59089.00000000
03092024 054000,59089.00000000,59129.55000000,59086.00000000,59108.01000000
03092024 054500,59108.01000000,59127.36000000,59051.10000000,59127.35000000
03092024 055000,59127.35000000,59127.36000000,59021.62000000,59106.96000000
03092024 055500,59106.97000000,59147.83000000,59093.11000000,59129.04000000
03092024 060000,59129.03000000,59184.22000000,59129.03000000,59163.00000000
03092024 060500,59163.00000000,59163.00000000,59049.00000000,59128.92000000
03092024 061000,59128.91000000,59130.00000000,59097.00000000,59130.00000000
03092024 061500,59129.99000000,59156.00000000,59122.00000000,59155.01000000
03092024 062000,59155.00000000,59187.00000000,59155.00000000,59179.00000000
03092024 062500,59179.00000000,59258.00000000,59179.00000000,59257.99000000
03092024 063000,59258.00000000,59300.99000000,59219.70000000,59300.99000000
03092024 063500,59301.00000000,59405.00000000,59300.99000000,59375.01000000
03092024 064000,59375.00000000,59406.57000000,59270.00000000,59270.00000000
03092024 064500,59270.01000000,59325.55000000,59239.13000000,59239.13000000
03092024 065000,59239.13000000,59280.00000000,59203.00000000,59213.68000000
03092024 065500,59213.67000000,59268.69000000,59213.67000000,59262.00000000
03092024 070000,59262.00000000,59289.00000000,59253.00000000,59268.01000000
03092024 070500,59268.00000000,59276.00000000,59198.00000000,59198.01000000
03092024 071000,59198.00000000,59212.00000000,59195.50000000,59212.00000000
03092024 071500,59212.00000000,59318.48000000,59195.41000000,59301.98000000
03092024 072000,59301.99000000,59381.86000000,59267.00000000,59374.25000000
03092024 072500,59374.25000000,59403.99000000,59336.91000000,59388.01000000
03092024 073000,59388.01000000,59500.00000000,59347.00000000,59463.18000000
03092024 073500,59463.18000000,59660.02000000,59382.05000000,59651.79000000
03092024 074000,59651.53000000,59807.42000000,59582.10000000,59764.00000000
03092024 074500,59763.99000000,59809.65000000,59682.00000000,59709.12000000
03092024 075000,59709.11000000,59735.00000000,59638.70000000,59645.99000000
03092024 075500,59645.99000000,59679.00000000,59565.00000000,59581.10000000
03092024 080000,59581.10000000,59649.00000000,59581.10000000,59606.01000000
03092024 080500,59606.00000000,59606.01000000,59491.95000000,59510.01000000
03092024 081000,59510.00000000,59516.63000000,59405.15000000,59450.01000000
03092024 081500,59450.02000000,59459.93000000,59419.00000000,59459.93000000
03092024 082000,59459.93000000,59490.00000000,59383.00000000,59389.98000000
03092024 082500,59389.99000000,59396.00000000,59300.00000000,59311.01000000
03092024 083000,59311.01000000,59327.71000000,59281.22000000,59289.83000000
